,0
372,0.0525
373,0.0525
374,0.0514
375,0.052000000000000005
376,0.11789999999999999
377,0.1434
378,0.1396
379,0.0712
380,0.063
381,0.0576
382,0.04820000000000001
383,0.0501
384,0.0529
385,0.0521
386,0.04730000000000001
387,0.046900000000000004
388,0.0444
389,0.0444
390,0.0496
391,0.0501
392,0.0567
393,0.0567
394,0.059500000000000004
395,0.05480000000000001
396,0.0529
397,0.0501
398,0.0512
399,0.0501
400,0.11789999999999999
401,0.1489
402,0.13720000000000002
403,0.061399999999999996
404,0.053200000000000004
405,0.0501
406,0.0455
407,0.0454
408,0.0463
409,0.0458
410,0.044000000000000004
411,0.0444
412,0.0435
413,0.0442
414,0.049400000000000006
415,0.0501
416,0.0616
417,0.0643
418,0.0529
419,0.0479
420,0.046900000000000004
421,0.0464
422,0.04650000000000001
423,0.04730000000000001
424,0.11570000000000001
425,0.1442
426,0.1419
427,0.0618
428,0.0558
429,0.04820000000000001
430,0.0463
431,0.0501
432,0.049800000000000004
433,0.0501
434,0.049
435,0.0477
436,0.0492
437,0.0492
438,0.052199999999999996
439,0.0477
440,0.0468
441,0.0649
442,0.0658
443,0.06280000000000001
444,0.06420000000000001
445,0.0526
446,0.0513
447,0.049400000000000006
448,0.11810000000000001
449,0.165
450,0.1625
451,0.0674
452,0.0588
453,0.05480000000000001
454,0.0506
455,0.0529
456,0.0556
457,0.0552
458,0.049100000000000005
459,0.0496
460,0.047599999999999996
461,0.0463
462,0.04650000000000001
463,0.0463
464,0.04730000000000001
465,0.049100000000000005
466,0.0633
467,0.057800000000000004
468,0.0661
469,0.05480000000000001
470,0.048
471,0.04730000000000001
472,0.1161
473,0.1464
474,0.1386
475,0.0506
476,0.0479
477,0.04650000000000001
478,0.043899999999999995
479,0.0468
480,0.0458
481,0.0464
482,0.0467
483,0.0492
484,0.04730000000000001
485,0.04730000000000001
486,0.0501
487,0.0518
488,0.0643
489,0.06820000000000001
490,0.0646
491,0.0517
492,0.049100000000000005
493,0.0487
494,0.04730000000000001
495,0.04730000000000001
496,0.1158
497,0.14800000000000002
498,0.1377
499,0.0661
500,0.0572
501,0.0563
502,0.045700000000000005
503,0.0509
504,0.050199999999999995
505,0.0506
506,0.0454
507,0.0391
508,0.0338
509,0.030600000000000002
510,0.043
511,0.0464
512,0.0501
513,0.058600000000000006
514,0.0564
515,0.0501
516,0.0499
517,0.0499
518,0.0475
519,0.0464
520,0.11449999999999999
521,0.1369
522,0.1306
523,0.0571
524,0.0538
525,0.051500000000000004
526,0.04070000000000001
527,0.05480000000000001
528,0.0506
529,0.0506
530,0.0442
531,0.04
532,0.031200000000000002
533,0.039700000000000006
534,0.0529
535,0.0496
536,0.0512
537,0.0538
538,0.0501
539,0.0499
540,0.052000000000000005
541,0.04820000000000001
542,0.0466
543,0.0438
544,0.11380000000000001
545,0.13670000000000002
546,0.1358
547,0.063
548,0.05480000000000001
549,0.048499999999999995
550,0.0453
551,0.0461
552,0.0454
553,0.0529
554,0.049100000000000005
555,0.04730000000000001
556,0.0455
557,0.0463
558,0.0524
559,0.04820000000000001
560,0.0525
561,0.057800000000000004
562,0.0533
563,0.0468
564,0.04820000000000001
565,0.0481
566,0.0501
567,0.047400000000000005
568,0.11449999999999999
569,0.14880000000000002
570,0.1434
571,0.0671
572,0.0605
573,0.0504
574,0.0464
575,0.0477
576,0.0479
577,0.048
578,0.0453
579,0.0453
580,0.0453
581,0.0461
582,0.0507
583,0.054900000000000004
584,0.0661
585,0.069
586,0.0666
587,0.055
588,0.0514
589,0.0496
590,0.0495
591,0.0493
592,0.1202
593,0.1645
594,0.1527
595,0.07980000000000001
596,0.059500000000000004
597,0.053700000000000005
598,0.0463
599,0.0538
600,0.05280000000000001
601,0.06230000000000001
602,0.0501
603,0.0483
604,0.046900000000000004
605,0.0376
606,0.0393
607,0.0425
608,0.0463
609,0.060599999999999994
610,0.06230000000000001
611,0.057699999999999994
612,0.0535
613,0.0492
614,0.0458
615,0.0466
616,0.1116
617,0.1433
618,0.14830000000000002
619,0.062000000000000006
620,0.0529
621,0.049100000000000005
622,0.0454
623,0.0509
624,0.0501
625,0.0509
626,0.0506
627,0.047599999999999996
628,0.044500000000000005
629,0.0435
630,0.04730000000000001
631,0.04070000000000001
632,0.032100000000000004
