,0
145,7478.826666666673
146,7477.600000000006
147,7595.893333333339
148,7670.026666666672
149,7776.693333333339
150,7756.160000000005
151,7706.613333333339
152,7658.2933333333385
153,7614.2933333333385
154,7625.866666666672
155,7613.973333333339
156,7731.573333333338
157,7742.346666666673
158,7876.213333333339
159,7901.706666666673
160,7934.400000000006
161,7918.506666666672
162,8129.653333333338
163,8140.160000000004
164,8287.146666666671
165,8239.573333333337
166,8311.040000000005
167,8279.46666666667
168,8297.38666666667
169,8351.57333333334
170,8474.133333333339
171,8633.17333333334
172,8536.69333333334
173,8457.120000000006
174,8505.653333333341
175,8402.77333333334
176,8406.826666666673
177,8406.13333333334
178,8333.760000000007
179,8267.200000000006
180,8177.440000000006
181,8175.360000000005
182,8280.85333333334
183,8334.080000000007
184,8305.49333333334
185,8321.280000000006
186,8195.41333333334
187,8092.000000000006
188,8055.786666666673
189,8075.306666666674
190,8123.146666666674
191,8122.560000000009
192,8055.360000000009
193,8037.653333333342
194,8042.026666666676
195,8118.08000000001
196,8117.653333333342
197,8226.133333333342
198,8142.880000000008
199,8075.360000000009
200,7931.733333333341
201,7953.333333333341
202,8000.586666666673
203,7937.973333333341
204,7973.226666666673
205,8057.706666666673
206,7995.09333333334
207,7873.440000000006
208,7814.506666666673
209,7815.520000000007
210,7798.986666666674
211,7812.853333333341
212,7625.65333333334
213,7558.93333333334
214,7522.826666666673
215,7462.560000000007
216,7564.373333333339
217,7585.600000000006
218,7562.560000000006
219,7438.506666666672
220,7423.093333333339
221,7378.773333333339
222,7331.200000000006
223,7139.200000000006
224,7001.493333333338
225,6925.066666666671
226,6807.306666666672
227,6729.013333333338
228,6655.253333333339
229,6749.600000000005
230,6700.746666666672
231,6673.333333333339
232,6629.546666666673
233,6692.426666666673
234,6636.160000000006
235,6502.61333333334
236,6524.53333333334
237,6612.160000000006
238,6667.73333333334
239,6669.866666666673
240,6757.600000000007
241,6738.666666666673
242,6849.440000000006
243,6814.560000000007
244,6758.346666666674
245,6693.546666666673
246,6657.066666666674
247,6586.93333333334
248,6398.666666666673
249,6372.746666666673
250,6358.346666666674
251,6344.640000000006
252,6235.306666666673
253,6395.626666666673
254,6469.1733333333395
255,6506.240000000006
256,6528.960000000006
257,6465.440000000007
258,6428.746666666674
259,6382.133333333341
260,6451.626666666674
261,6308.053333333341
262,6315.4666666666735
263,6204.906666666673
264,6165.706666666673
265,6048.480000000006
266,6005.493333333338
267,5789.173333333339
268,5710.880000000006
269,5648.053333333339
270,5472.053333333339
271,5260.693333333339
272,5044.5866666666725
273,4913.280000000005
274,4771.893333333339
275,4715.360000000005
276,4636.640000000005
277,4595.946666666672
278,4694.13333333334
279,4610.346666666673
280,4507.6266666666725
281,4346.613333333339
282,4291.893333333339
283,4109.653333333339
284,4038.1866666666724
285,3864.853333333339
286,3819.253333333339
287,3816.213333333339
288,3735.7866666666723
289,3642.5600000000054
290,3541.760000000005
291,3573.6533333333387
292,3379.146666666672
293,3378.133333333338
294,3303.680000000005
295,3320.7466666666714
296,3187.306666666671
297,3149.6000000000045
298,3008.853333333338
299,2942.4000000000046
300,2934.1866666666715
301,2906.9866666666717
